supervision,n_orb,num_layers,geometry,val_transmission,val_transmission_spread,l12_transmission,l12_transmission_spread,l16_transmission,l16_transmission_spread,l12_dos,l12_dos_spread,l16_dos,l16_dos_spread,onsite_near,onsite_near_spread,ci_interior_mode,ci_interior_mode_spread,ci_interior_total,ci_interior_total_spread
DOS+T,1,2,off,0.505933213092032,0.03034864578928259,2.595426846347544,0.48939163278000786,2.340051475481555,0.26584855213453906,0.2037065433488703,0.01696977896896973,0.19384627069062535,0.01985362704504956,3.759323710967539,2.9008241484517456,0.5876681663331318,1.0310735696517155,0.7424587295834965,1.0374839123003095
DOS+T,1,2,on,0.48037279219854445,0.02623681511197773,2.8020027371590035,0.6315624747583493,2.328487287025059,0.20355741740189792,0.2224128010764054,0.02600985681231402,0.19900497351055513,0.012451897431342701,4.532473291051941,1.8272145346837512,1.0137725105573343,1.0208976048440146,1.0187938717869052,1.0115832029796747
DOS+T,1,4,off,0.3931187142928441,0.04381106581006733,2.382756927327469,0.3599947902603642,2.4136424571453654,0.13355323289965026,0.20439241319545723,0.003040763293778559,0.2062315873112688,0.00458535864373516,3.1099532723501087,1.453874611417858,1.9732647430872507,1.9194383598957456,2.0050967439361376,1.8495729976341297
DOS+T,1,4,on,0.4249938570317768,0.06183270258562906,2.352072758693877,0.30787724807026473,2.393198329446291,0.1563619857363321,0.20647728714844168,0.01731318282394001,0.21569126934608443,0.018343747530310067,2.8146253827955117,2.7112677949414232,1.4816119633493305,2.56992257157555,1.485535926056849,2.573362250880709
DOS+T,2,2,off,0.3945341958176522,0.09835171380213331,2.400579759832614,0.9710509389385042,2.1683942041627184,0.5934651130940098,0.16774968139906585,0.0038195040034695593,0.16284238355174155,0.005071174839294257,1.3230644740221975,0.6556179559356601,0.24831252280227373,0.33932142492117073,0.44834687246424937,0.9393992384793188
DOS+T,2,2,on,0.4404415651446297,0.03499019145965576,2.4559045239404766,0.28347648089278943,2.232705611414366,0.2813921141541815,0.1711533176966525,0.016669391880594908,0.16506087805044145,0.025899749536973493,1.3072633788363532,0.2331037321810172,0.15984579513768965,0.1072191810874176,0.1735488762270626,0.14400679858932
DOS+T,2,4,off,0.3287956863641739,0.047665565141609745,1.9685780708871998,0.7141534234154938,2.0037208089436755,0.2191471209111584,0.14802619119880828,0.027189232056557683,0.16616756671831387,0.031471249276054686,1.2400841190887093,0.49103723525827014,0.5277808315112873,0.09656570760802019,0.5978223638090617,0.25606748429593995
DOS+T,2,4,on,0.33117145761137917,0.07334623272929869,1.996839389624325,0.43511210746010676,2.089379859647021,0.1296941033570156,0.14903291402060426,0.031434253576893056,0.16817461232470837,0.031097586474467975,1.4632775112831062,0.5560169917337101,0.5438883774628868,0.09358790563749642,0.5830130970856818,0.19240782286577418
LDOS+DOS+T,1,2,off,0.5536590828782036,0.05009929410048897,2.912274489982658,0.5190454934041631,2.5465244495534725,0.21371574264705284,0.26022896520358646,0.04001780631662544,0.2473829593074021,0.016339953578727,1.8507832937199884,0.5824926796429459,0.6824187443144774,1.2319197576384868,0.723856136725657,1.2317526974332214
LDOS+DOS+T,1,2,on,0.5221096106937954,0.046785051269190636,2.853156969455488,0.31327577044780064,2.4043646013759097,0.11304353621593721,0.29079896947506007,0.008266361039165893,0.2459318064114194,0.036448435610343166,1.9379827299400316,0.28846855191945275,0.29574502691263227,0.07367637185831788,0.2957916213834496,0.07371714189521245
