run_name,supervision,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,saved_at_epoch
blind_dos_L2_nogeom_s1179027592,DOS+T,2,off,1179027592,0.16360747707741602,2.2859530385352063,3.577799226902717,0.1159346206180617,0.13172132788615248,563
blind_dos_L2_nogeom_s2129768291,DOS+T,2,off,2129768291,0.1729691188250269,2.0944613485378802,3.2177490548933827,0.11255499893110299,0.13540769123366597,461
blind_dos_L2_nogeom_s3731635825,DOS+T,2,off,3731635825,0.17092635748641832,2.068305265926062,3.0792973821521192,0.12939788095478566,0.15507720179817155,728
blind_dos_L2_geom_s1179027592,DOS+T,2,on,1179027592,0.17749402938144548,1.8904226702734996,2.8626817525984753,0.13194119472485602,0.15487742728158713,517
blind_dos_L2_geom_s2129768291,DOS+T,2,on,2129768291,0.16974911146930285,2.1178131751207947,3.1759889060067135,0.13348844402040053,0.16943185261711213,504
blind_dos_L2_geom_s3731635825,DOS+T,2,on,3731635825,0.17592391105634825,2.1707110818283417,3.278248746823676,0.11034374576841137,0.1297809582220447,389
blind_dos_L4_nogeom_s1179027592,DOS+T,4,off,1179027592,0.2284168585070542,3.5030723344385724,5.126661798659347,0.1119107125739275,0.1450675842459176,194
blind_dos_L4_nogeom_s2129768291,DOS+T,4,off,2129768291,0.2721735952155931,4.800587796881185,7.019314979302315,0.09181295282911103,0.11460423595798544,199
blind_dos_L4_nogeom_s3731635825,DOS+T,4,off,3731635825,0.163743150553533,2.367798336298691,3.7472882930502562,0.10708124369761007,0.12896390907942373,244
blind_dos_L4_geom_s1179027592,DOS+T,4,on,1179027592,0.331060097685882,4.841526970518052,6.456022344904199,0.10925148667303394,0.13561822575780663,211
blind_dos_L4_geom_s2129768291,DOS+T,4,on,2129768291,0.23016731387802533,3.2814401088408247,5.012929249419779,0.09076202610460221,0.11746223903743405,443
blind_dos_L4_geom_s3731635825,DOS+T,4,on,3731635825,0.17779294454625674,2.8422649353195784,4.46239703486972,0.0939060688783061,0.11389409710876769,263
blind_tonly_L2_nogeom_s1179027592,T-only,2,off,1179027592,0.17127841604607447,2.1387234912743924,3.47384816785787,0.324256973601732,0.2982394972241874,880
blind_tonly_L2_nogeom_s2129768291,T-only,2,off,2129768291,0.1651767689202513,2.0352721382996313,3.217109268819536,0.31710362155314703,0.2907776133372941,673
blind_tonly_L2_nogeom_s3731635825,T-only,2,off,3731635825,0.16418393275567464,2.020799937936539,3.069577174447498,0.32425864536144944,0.29757366765761917,864
blind_tonly_L2_geom_s1179027592,T-only,2,on,1179027592,0.20290329679846764,2.0406297725416653,2.9946835031635874,0.32139320096156865,0.2931384533062431,660
blind_tonly_L2_geom_s2129768291,T-only,2,on,2129768291,0.17087318854672567,2.101053337946712,3.322996082059788,0.32038618997042106,0.29553336595647983,448
blind_tonly_L2_geom_s3731635825,T-only,2,on,3731635825,0.1655569768377713,1.9864469628058126,3.2002783243624817,0.3273533605897102,0.30040212215104567,483
blind_tonly_L4_nogeom_s1179027592,T-only,4,off,1179027592,0.17626421047108515,2.2395641902812167,3.574380332872412,0.32950319709603937,0.30549140015286613,346
blind_tonly_L4_nogeom_s2129768291,T-only,4,off,2129768291,0.1849698472235884,2.486429224204641,4.029191113553544,0.3269894516408626,0.3049721900751693,212
blind_tonly_L4_nogeom_s3731635825,T-only,4,off,3731635825,1.9179754427501134,8.068913173887282,11.81609946156663,0.33692539821004325,0.31178324088345266,53
blind_tonly_L4_geom_s1179027592,T-only,4,on,1179027592,0.18624456971883774,2.3081732201340257,3.4514012934221245,0.329188582665514,0.3067744058576093,284
blind_tonly_L4_geom_s2129768291,T-only,4,on,2129768291,0.20016703701445035,2.7724414498627272,4.308807877746348,0.3283119481472328,0.3053415913604869,314
blind_tonly_L4_geom_s3731635825,T-only,4,on,3731635825,0.43089953703539713,2.7026407367751615,4.0110457375091935,0.32585799135614024,0.30417124051392413,438
