supervision,num_layers,geometry,val_transmission,val_transmission_spread,l12_transmission,l12_transmission_spread,l16_transmission,l16_transmission_spread,l12_dos,l12_dos_spread,l16_dos,l16_dos_spread
DOS+T,2,off,0.16916765112962043,0.009361641747610894,2.149573217666383,0.21764777260914414,3.2916152213160728,0.49850184475059756,0.11929583350131678,0.01684288202368267,0.14073540697266335,0.02335587391201907
DOS+T,2,on,0.17438901730236553,0.007744917912142629,2.0596489757408785,0.2802884115548421,3.1056398018096214,0.4155669942252005,0.1252577948378893,0.023144698251989157,0.15136341270691464,0.03965089439506744
DOS+T,4,off,0.22144453475872677,0.10843044466206009,3.557152822539483,2.432789460582494,5.297755023670639,3.272026686252059,0.10360163636688287,0.020097759744816465,0.12954524309444226,0.03046334828793215
DOS+T,4,on,0.24634011870338804,0.15326715313962527,3.6550773382261514,1.9992620351984733,5.310449543064566,1.9936253100344796,0.09797319388531409,0.01848946056843173,0.12232485396800279,0.021724128649038943
T-only,2,off,0.16687970590733348,0.007094483290399828,2.0649318558368543,0.11792355333785354,3.2535115370416348,0.4042709934103721,0.32187308017210947,0.007155023808302408,0.2955302594063669,0.0074618838868932835
T-only,2,on,0.17977782072765486,0.037346319960696345,2.0427100244313965,0.11460637514089922,3.172652636528619,0.3283125788962007,0.3230442505072333,0.0069671706192891425,0.2963579804712562,0.007263668844802562
T-only,4,off,0.7597365001482623,1.7417112322790282,4.264968862791046,5.8293489836060655,6.473223635997528,8.241719128694218,0.33113934898231506,0.00993594656918062,0.30741561037049603,0.00681105080828337
T-only,4,on,0.2724370479228951,0.2446549673165594,2.5944184689239713,0.4642682297287015,3.9237516362258886,0.8574065843242238,0.3277861740562957,0.0033305913093737427,0.30542907924400675,0.0026031653436851543
